Security ID,Name,New,For,Old,Qty Offered,Qty Subscribed,Date Ex,Allotment Date,Date Of Renunciation,Cum Price,Ex Price,Issue Price
HAYL.N.0000,HAYLEYS         ,1,:,10,"5,000,000","5,000,000",AUG-06-2004,AUG-18-2004,SEP-08-2004,133.25,120.25,20.00
HLOG.N.0000,HABARANA LODGE  ,1,:,3,"1,800,000","1,800,000",AUG-18-1993,SEP-24-1993,OCT-15-1993,83.00,65.25,35.00
HNB .N.0000,HNB             ,2,:,5,"22,000,000","22,000,000",SEP-29-2004,OCT-11-2004,NOV-01-2004,62.50,60.00,55.00
HNB .X.0000,HNB             ,3,:,10,"15,000,000","1,199,176",OCT-13-1999,OCT-22-1999,NOV-12-1999,,65.00,70.00
HNB .X.0000,HNB             ,2,:,5,"6,600,000","6,600,000",SEP-29-2004,OCT-11-2004,NOV-01-2004,37.00,36.00,33.00
HNB -N-0000,HNB,1,:,10,"28,740,020","19,020,702",4-Jul-11,1-Jul-11,22-Jul-11,202.80,208.50,219.50
HNB -X-0000,HNB,1,:,10,"7,013,916","2,838,149",4-Jul-11,1-Jul-11,22-Jul-11,117.90,116.30,119.50
HPP .N.0000,HAYL. PHOTOPRINT,1,:,2,"1,000,000","1,000,000",AUG-13-1997,AUG-26-1997,SEP-17-1997,33.00,30.00,10.00
HPP .N.0000,HAYL. PHOTOPRINT,1,:,3,"1,000,000","1,000,000",SEP-04-2000,SEP-15-2000,OCT-06-2000,16.00,14.00,10.00
HSIG.N.0000,HOTEL SIGIRIYA  ,1,:,3,"697,500","697,500",AUG-11-1992,SEP-07-1992,SEP-28-1992,32.00,37.00,10.00
HSIG.N.0000,HOTEL SIGIRIYA  ,2,:,5,"1,116,000","1,116,000",APR-04-2000,APR-19-2000,MAY-10-2000,12.00,11.00,10.00
HSIG.N.0000,HOTEL SIGIRIYA  ,1,:,2,"1,953,000","1,953,000",SEP-13-2004,SEP-23-2004,OCT-14-2004,31.25,31.25,30.00
HUNA.N.0000,HUNAS FALLS     ,2,:,1,"2,500,000","2,500,000",NOV-30-1993,DEC-16-1993,JAN-06-1994,96.00,53.75,16.00
