Date,Open,High,Low,Close,Volume,Adj Close
2004-07-05,1366.3,1373.37,1335.48,1373.37,11531800,1373.37
2004-07-01,1358.47,1366.3,1335.48,1366.3,22031600,1366.3
2004-06-30,1339.44,1360.57,1339.44,1358.47,24409200,1358.47
2004-06-29,1335.45,1342.41,1335.45,1339.44,20120200,1339.44
2004-06-28,1337.06,1339.51,1332.31,1335.45,9589800,1335.45
2004-06-25,1330.9,1339.18,1330.63,1337.06,7845800,1337.06
2004-06-24,1326.48,1333.69,1324.22,1330.9,10007800,1330.9
2004-06-23,1325.94,1329.27,1322.92,1326.48,13207400,1326.48
2004-06-22,1322.99,1328.91,1322.99,1325.94,15074000,1325.94
2004-06-21,1312.97,1326.86,1312.97,1322.99,14120400,1322.99
2004-06-18,1307.43,1317.52,1307.43,1312.91,10559000,1312.91
2004-06-17,1303.81,1312.19,1303.5,1308.31,8693800,1308.31
2004-06-16,1304.33,1308.93,1301.66,1303.81,15006200,1303.81
2004-06-15,1300.27,1306.73,1299.27,1304.33,8429400,1304.33
2004-06-14,1298.07,1303.69,1294.34,1300.27,7941600,1300.27
2004-06-11,1282.47,1300.84,1281.89,1298.07,14848000,1298.07
2004-06-10,1287.23,1287.58,1280.5,1282.47,22945600,1282.47
2004-06-09,1291.37,1295.49,1286.79,1287.23,24344000,1287.23
2004-06-08,1298.88,1300.98,1290.41,1291.37,17701400,1291.37
2004-06-07,1296.55,1305.83,1296.55,1298.88,6863800,1298.88
2004-06-04,1309.91,1312.56,1294.44,1296.55,6404800,1296.55
2004-06-03,1321.25,1323.7,1309.36,1309.91,6781200,1309.91
2004-06-01,1319.25,1328.36,1319.25,1321.25,5745400,1321.25
2004-05-31,1316.82,1324.35,1316.82,1319.25,4842200,1319.25
2004-05-28,1314.8,1325.08,1314.8,1316.82,9004000,1316.82
2004-05-27,1317.2,1321.46,1314.8,1314.8,9859500,1314.8
2004-05-26,1318.08,1321.46,1315.74,1317.2,16921800,1317.2
2004-05-25,1330.98,1335.69,1315.68,1318.08,6102800,1318.08
2004-05-24,1321.68,1335.09,1320.49,1330.98,9217000,1330.98
2004-05-21,1303.29,1330.69,1303.29,1321.68,12749400,1321.68
2004-05-20,1294.2,1304.93,1294.2,1303.29,16674200,1303.29
2004-05-19,1279.91,1296.51,1279.91,1294.25,12488600,1294.25
2004-05-18,1306.43,1306.52,1277.66,1279.91,13270400,1279.91
2004-05-17,1321.19,1327.74,1306.14,1306.14,29655200,1306.14
2004-05-14,1283.96,1324.2,1283.96,1321.19,20221000,1321.19
2004-05-13,1283.96,1289.22,1256.68,1283.96,22122800,1283.96
2004-05-12,1245.68,1258.64,1245.07,1256.65,20747200,1256.65
2004-05-11,1233.89,1247.7,1233.89,1245.68,9540600,1245.68
2004-05-10,1226.97,1235.68,1226.82,1233.89,5772000,1233.89
2004-05-06,1221.1,1228.39,1221.1,1226.98,7571600,1226.98
2004-05-03,1212.34,1222.29,1210.49,1221.19,2546800,1221.19
2004-04-29,1203.39,1215.23,1203.39,1212.34,2955000,1212.34
2004-04-28,1217.05,1219.2,1201,1203.39,6184200,1203.39
2004-04-27,1221.85,1222.05,1217.05,1217.05,3262600,1217.05
2004-04-26,1212.68,1231.25,1212.28,1221.85,14769200,1221.85
2004-04-23,1209.6,1216.28,1209.6,1212.68,25639400,1212.68
2004-04-22,1212.22,1213.87,1208.04,1209.6,4442600,1209.6
2004-04-21,1201.52,1215.89,1201.52,1212.23,3295400,1212.23
2004-04-20,1208.86,1208.86,1200.69,1201.52,4386200,1201.52
2004-04-19,1218.63,1219.8,1205.48,1208.86,2759200,1208.86
2004-04-16,1219.87,1222.56,1218.63,1218.63,2625800,1218.63
2004-04-15,1220.31,1224.42,1219.59,1219.87,2728000,1219.87
2004-04-14,1213.49,1223.76,1212.32,1220.31,2122000,1220.31
2004-04-08,1196.47,1220.34,1196.47,1213.49,10932800,1213.49
2004-04-07,1188.98,1203.03,1179.29,1196.47,6193200,1196.47
2004-04-06,1313.45,1313.45,1178.58,1188.99,10667800,1188.99
2004-04-02,1292.28,1320.26,1292.28,1313.46,15749200,1313.46
2004-04-01,1284.22,1296.58,1284.22,1292.27,11586600,1292.27
2004-03-31,1284.93,1291.24,1276.06,1284.22,12170400,1284.22
2004-03-30,1314,1325.3,1275.49,1284.93,7536800,1284.93
2004-03-29,1320.12,1322.59,1313.89,1314.01,4529000,1314.01
2004-03-26,1343.6,1353.16,1320.14,1320.14,5158800,1320.14
2004-03-25,1408.51,1411.44,1342.8,1343.6,3369000,1343.6
2004-03-24,1338.79,1410.36,1338.79,1408.51,2768400,1408.51
2004-03-23,1248.5,1354.64,1248.49,1338.79,2547000,1338.79
2004-03-22,1216.2,1255.4,1215.83,1248.5,3104200,1248.5
2004-03-19,1195.74,1220.66,1187.92,1216.05,4397200,1216.05
2004-03-18,1201.39,1205.33,1195.74,1195.74,11126400,1195.74
2004-03-17,1204.89,1208.12,1201.39,1201.39,2847800,1201.39
2004-03-16,1216.2,1223.75,1204.72,1204.89,2929200,1204.89
2004-03-15,1224.5,1227.17,1215.7,1216.2,3703400,1216.2
2004-03-12,1228.01,1232.14,1224.5,1224.5,3159600,1224.5
2004-03-11,1240.67,1244.9,1227.6,1228.01,3254600,1228.01
2004-03-10,1231.85,1243.7,1231.73,1240.68,3056400,1240.68
2004-03-09,1218.66,1235.54,1218.6,1231.86,4931000,1231.86
2004-03-08,1237.31,1237.51,1216.36,1218.67,4135200,1218.67
2004-03-05,1211.98,1242.52,1200.79,1237.32,5196400,1237.32
2004-03-04,1223.86,1226.32,1211.99,1211.99,7400800,1211.99
2004-03-03,1227.76,1230.14,1220.86,1223.86,5196800,1223.86
2004-03-02,1223.31,1228.08,1219.36,1227.76,2489400,1227.76
2004-03-01,1224.92,1230.87,1222.52,1223.32,5044200,1223.32
2004-02-27,1213.46,1226.91,1213.45,1224.92,10239600,1224.92
2004-02-26,1199.58,1214.81,1199.58,1213.46,5030000,1213.46
2004-02-25,1198.94,1203.31,1190.38,1199.58,5474800,1199.58
2004-02-24,1185.84,1203,1185.84,1198.94,6451400,1198.94
2004-02-23,1154.3,1187.1,1154.3,1185.62,5521400,1185.62
2004-02-20,1142.55,1156.69,1141.46,1154.31,7945200,1154.31
2004-02-19,1126.81,1144.54,1126.33,1142.9,3846200,1142.9
2004-02-17,1118.47,1129.16,1117.38,1126.81,3207200,1126.81
2004-02-16,1118.47,1120.5,1104.94,1117.82,4968200,1117.82
2004-02-13,1118.47,1118.47,1118.47,1118.47,9414800,1118.47
2004-02-12,1088.16,1088.16,1088.16,1088.16,8930000,1088.16
2004-02-11,1059.26,1059.26,1059.26,1059.26,4742600,1059.26
2004-02-10,1016.66,1016.66,1016.66,1016.66,8088000,1016.66
2004-02-09,1058.33,1058.33,1058.33,1058.33,8982800,1058.33
2004-02-06,1162.7,1186.5,1162.7,1182.99,5750600,1182.99
2004-02-03,1211.11,1211.11,1162.7,1162.7,6610200,1162.7
2004-01-30,1197.33,1212.08,1197.14,1211.11,3453400,1211.11
2004-01-29,1225.06,1231.72,1197.34,1197.34,3400800,1197.34
2004-01-28,1234.31,1238.16,1220.04,1225.05,6383800,1225.05
2004-01-27,1180.95,1236.92,1180.95,1234.31,33049400,1234.31
2004-01-26,1116.84,1187.85,1116.84,1180.95,14594400,1180.95
2004-01-23,1123.4,1132.58,1116.35,1116.84,5008800,1116.84
2004-01-22,1116.46,1133.99,1116.46,1123.4,6069000,1123.4
2004-01-21,1094.72,1121.71,1094.62,1116.42,3860000,1116.42
2004-01-20,1083.67,1100.5,1075.17,1094.72,5146100,1094.72
2004-01-19,1140.89,1140.89,1073.38,1083.67,8551000,1083.67
2004-01-16,1178.44,1178.44,1138.54,1140.89,5643400,1140.89
2004-01-14,1173.21,1183.21,1170.93,1178.44,5512000,1178.44
2004-01-13,1161.42,1178.85,1161.25,1173.21,6974400,1173.21
2004-01-12,1164.85,1165.26,1148.41,1161.43,3493200,1161.43
2004-01-09,1155.14,1168.03,1150.81,1164.86,10606000,1164.86
2004-01-08,1134.27,1167.48,1110.23,1155.11,10080400,1155.11
